"Estimates of the components of international migration, quarterly 1 2"
"Frequency: Quarterly"
"Table: 17-10-0040-01 (formerly CANSIM 051-0037)"
"Release date: 2025-09-24"
"Geography: Canada, Province or territory"
""
""

"Geography","Components of population growth","Q1 1950","Q2 1950","Q3 1950","Q4 1950","Q1 1951","Q2 1951","Q3 1951","Q4 1951","Q1 1952","Q2 1952","Q3 1952","Q4 1952","Q1 1953","Q2 1953","Q3 1953","Q4 1953","Q1 1954","Q2 1954","Q3 1954","Q4 1954","Q1 1955","Q2 1955","Q3 1955","Q4 1955","Q1 1956","Q2 1956","Q3 1956","Q4 1956","Q1 1957","Q2 1957","Q3 1957","Q4 1957","Q1 1958","Q2 1958","Q3 1958","Q4 1958","Q1 1959","Q2 1959","Q3 1959","Q4 1959","Q1 1960","Q2 1960","Q3 1960","Q4 1960","Q1 1961","Q2 1961","Q3 1961","Q4 1961","Q1 1962","Q2 1962","Q3 1962","Q4 1962","Q1 1963","Q2 1963","Q3 1963","Q4 1963","Q1 1964","Q2 1964","Q3 1964","Q4 1964","Q1 1965","Q2 1965","Q3 1965","Q4 1965","Q1 1966","Q2 1966","Q3 1966","Q4 1966","Q1 1967","Q2 1967","Q3 1967","Q4 1967","Q1 1968","Q2 1968","Q3 1968","Q4 1968","Q1 1969","Q2 1969","Q3 1969","Q4 1969","Q1 1970","Q2 1970","Q3 1970","Q4 1970","Q1 1971","Q2 1971","Q3 1971","Q4 1971","Q1 1972","Q2 1972","Q3 1972","Q4 1972","Q1 1973","Q2 1973","Q3 1973","Q4 1973","Q1 1974","Q2 1974","Q3 1974","Q4 1974","Q1 1975","Q2 1975","Q3 1975","Q4 1975","Q1 1976","Q2 1976","Q3 1976","Q4 1976","Q1 1977","Q2 1977","Q3 1977","Q4 1977","Q1 1978","Q2 1978","Q3 1978","Q4 1978","Q1 1979","Q2 1979","Q3 1979","Q4 1979","Q1 1980","Q2 1980","Q3 1980","Q4 1980","Q1 1981","Q2 1981","Q3 1981","Q4 1981","Q1 1982","Q2 1982","Q3 1982","Q4 1982","Q1 1983","Q2 1983","Q3 1983","Q4 1983","Q1 1984","Q2 1984","Q3 1984","Q4 1984","Q1 1985","Q2 1985","Q3 1985","Q4 1985","Q1 1986","Q2 1986","Q3 1986","Q4 1986","Q1 1987","Q2 1987","Q3 1987","Q4 1987","Q1 1988","Q2 1988","Q3 1988","Q4 1988","Q1 1989","Q2 1989","Q3 1989","Q4 1989","Q1 1990","Q2 1990","Q3 1990","Q4 1990","Q1 1991","Q2 1991","Q3 1991","Q4 1991","Q1 1992","Q2 1992","Q3 1992","Q4 1992","Q1 1993","Q2 1993","Q3 1993","Q4 1993","Q1 1994","Q2 1994","Q3 1994","Q4 1994","Q1 1995","Q2 1995","Q3 1995","Q4 1995","Q1 1996","Q2 1996","Q3 1996","Q4 1996","Q1 1997","Q2 1997","Q3 1997","Q4 1997","Q1 1998","Q2 1998","Q3 1998","Q4 1998","Q1 1999","Q2 1999","Q3 1999","Q4 1999","Q1 2000","Q2 2000","Q3 2000","Q4 2000","Q1 2001","Q2 2001","Q3 2001","Q4 2001","Q1 2002","Q2 2002","Q3 2002","Q4 2002","Q1 2003","Q2 2003","Q3 2003","Q4 2003","Q1 2004","Q2 2004","Q3 2004","Q4 2004","Q1 2005","Q2 2005","Q3 2005","Q4 2005","Q1 2006","Q2 2006","Q3 2006","Q4 2006","Q1 2007","Q2 2007","Q3 2007","Q4 2007","Q1 2008","Q2 2008","Q3 2008","Q4 2008","Q1 2009","Q2 2009","Q3 2009","Q4 2009","Q1 2010","Q2 2010","Q3 2010","Q4 2010","Q1 2011","Q2 2011","Q3 2011","Q4 2011","Q1 2012","Q2 2012","Q3 2012","Q4 2012","Q1 2013","Q2 2013","Q3 2013","Q4 2013","Q1 2014","Q2 2014","Q3 2014","Q4 2014","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022","Q2 2022","Q3 2022","Q4 2022","Q1 2023","Q2 2023","Q3 2023","Q4 2023","Q1 2024","Q2 2024","Q3 2024","Q4 2024","Q1 2025","Q2 2025"
"Canada",,"Persons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Immigrants 3","14,470","22,816","16,964","19,662","25,914","53,871","50,100","64,506","42,743","55,314","37,239","29,202","22,937","55,399","46,762","43,770","28,223","57,542","41,088","27,374","17,627","40,790","28,190","23,339","18,963","50,961","40,085","54,848","62,460","119,956","61,850","37,898","21,243","46,501","32,387","24,720","16,955","40,134","28,266","21,573","16,599","41,442","25,802","20,268","11,839","24,943","19,386","15,521","11,762","22,299","22,507","18,018","13,410","28,034","27,900","23,807","17,546","33,777","33,343","27,940","22,279","40,619","45,511","38,349","30,713","55,288","58,533","50,209","43,989","64,969","65,635","48,283","35,601","49,738","51,037","47,598","30,788","40,333","48,571","41,839","30,783","40,052","42,488","34,390","27,899","31,278","34,828","27,895","23,567","30,746","32,474","35,219","26,288","44,545","49,057","64,310","45,302","58,787","62,312","52,064","43,448","51,459","54,550","38,424","32,359","44,695","41,539","30,836","26,048","32,508","33,797","22,561","20,332","24,277","21,948","19,756","18,866","23,948","32,052","37,230","34,349","40,194","37,376","31,579","26,789","31,494","35,931","34,580","29,707","35,121","29,700","26,803","22,002","22,899","23,008","21,468","19,052","25,064","24,881","19,602","18,221","21,221","24,330","20,567","19,342","24,418","26,207","29,376","34,688","40,609","42,535","34,199","32,999","42,478","47,242","38,815","40,480","51,095","53,775","46,166","43,297","60,119","62,927","50,081","51,621","56,753","54,876","69,526","56,579","63,300","70,126","64,851","62,298","69,615","71,534","53,307","50,665","59,854","66,559","47,317","50,904","55,958","58,259","47,754","51,288","60,177","62,750","51,846","52,844","57,417","60,845","44,928","42,813","45,873","47,317","38,181","40,153","47,543","53,841","48,434","45,564","57,871","66,518","57,476","58,485","70,048","69,951","52,154","61,589","72,711","52,919","41,830","45,558","58,863","63,340","53,588","54,927","67,246","65,589","48,097","56,439","74,474","75,946","55,387","55,134","67,914","70,354","58,247","47,873","61,653","71,665","55,572","53,147","69,248","71,320","53,547","50,789","69,657","75,401","56,371","58,056","80,807","84,305","57,571","49,571","67,696","71,864","59,604","55,566","73,009","66,907","62,343","58,255","75,610","65,409","59,772","64,461","78,294","65,546","52,007","51,129","72,093","78,903","69,742","86,246","88,297","68,231","53,611","72,837","78,015","70,134","65,551","80,007","87,677","82,292","71,078","65,953","94,280","103,713","77,228","69,140","34,072","40,119","41,263","70,492","74,440","122,916","138,198","113,803","118,319","122,199","83,291","145,496","117,927","107,988","100,406","121,778","134,172","124,266","103,438","104,210","103,507"
,"Net emigration 4 5","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","7,948","6,703","5,749","6,177","8,162","6,087","5,685","7,799","14,837","12,393","9,249","10,275","11,548","10,948","9,426","8,580","8,720","7,554","6,510","7,531","8,050","6,201","4,634","6,172","10,339","7,961","5,948","7,189","10,482","8,073","6,030","6,272","7,428","4,762","3,886","4,445","5,348","3,944","3,249","5,278","9,494","6,583","6,095","6,938","10,884","7,137","5,626","7,474","11,605","7,098","5,994","7,053","9,565","6,452","5,719","6,398","9,161","5,586","4,425","5,622","12,248","7,937","5,833","4,988","11,414","6,630","4,696","3,945","9,626","6,267","4,683","5,732","10,040","6,251","4,663","4,880","9,334","6,134","6,239","6,777","18,710","11,670","9,552","9,543","18,094","11,532","9,402","9,430","18,480","13,345","9,378","11,641","21,071","13,592","8,279","10,484","19,964","12,525","8,006","8,611","18,474","14,750","11,770","14,429","21,788","14,816","10,731","11,373","21,986","13,752","9,421","10,925","20,273","13,768","10,376","11,556","21,078","14,099","10,101","10,141","23,655","15,494","7,400","5,431","18,739","14,112","10,680","8,661","15,860","14,675","13,229","11,539","15,918","14,399","12,574","10,681","14,820","14,361","13,834","11,244","8,687","14,125","12,340","10,648","15,147","13,320","12,425","10,215","16,044","13,994","10,769","7,184","11,363","11,815","10,874","8,022","11,398","11,893","12,114","7,457","16,013","15,348","14,350","9,175","12,985","13,916","15,063","9,838","11,396","15,153","15,698","11,254","13,862","14,142","15,927","10,113","14,644","15,882","15,462","8,909","16,648","15,753","15,964","8,115","8,878","10,875","13,487","6,625","7,025","10,778","11,957","5,206","9,073","9,555","10,408","2,633","-78","6,272","10,498","9,034","7,898","11,731","16,312","11,312","16,623","14,323","18,928","11,835","19,286","14,031","19,368","10,767","19,869","14,448","19,961","11,094"
,"Emigrants 5 6 7","..","..","..","..","..","..","13,637","13,637","13,637","14,685","16,563","15,674","12,550","13,093","16,152","16,180","12,025","13,332","16,274","15,519","12,047","13,467","19,361","17,018","14,158","17,577","19,156","17,862","15,429","16,855","21,296","20,803","12,965","14,888","17,630","16,198","12,472","15,133","21,568","20,016","15,151","17,599","22,224","20,622","13,984","17,075","21,561","19,685","15,506","16,983","22,683","21,568","17,259","18,687","24,446","23,171","18,755","20,659","28,201","24,815","21,039","23,297","32,175","28,796","15,677","17,631","30,120","28,061","22,833","24,281","32,408","28,940","24,798","26,187","26,071","22,980","19,892","21,295","26,342","22,560","17,651","19,336","24,273","19,701","16,594","16,951","19,835","16,717","14,340","15,142","19,340","14,416","13,454","16,640","26,364","22,025","16,430","18,682","22,047","20,890","17,989","17,095","19,095","16,537","14,250","16,832","18,803","14,478","10,827","13,699","20,837","16,046","11,992","14,446","20,924","16,112","12,044","13,278","17,929","11,498","9,376","11,076","14,255","10,518","8,662","11,428","17,734","12,228","11,216","13,608","20,895","13,681","10,694","13,956","21,186","12,735","10,655","13,194","18,911","12,481","11,033","12,777","19,076","11,289","8,715","11,515","17,814","11,055","9,104","9,734","16,179","9,295","7,499","8,005","14,322","8,894","7,444","9,735","14,680","8,849","7,391","8,840","14,407","8,974","9,217","11,094","17,713","10,006","8,385","9,529","16,921","9,732","8,106","9,234","17,550","11,828","8,338","11,740","21,204","11,999","7,991","10,875","20,191","11,028","7,126","10,051","18,995","11,666","9,234","12,920","20,201","11,908","8,569","11,138","19,813","10,319","7,364","10,512","18,812","10,821","7,843","10,613","19,583","10,802","7,652","9,729","23,167","13,040","6,277","7,665","20,472","12,307","10,160","10,951","19,425","13,148","11,824","13,787","19,631","13,184","11,479","13,339","20,348","13,395","13,094","14,575","21,980","15,058","13,692","15,782","22,281","14,656","13,699","15,522","22,314","14,699","12,243","12,275","18,552","13,357","12,301","13,836","19,826","13,725","13,747","14,168","22,222","14,988","14,120","14,063","20,315","13,375","14,286","14,153","19,902","14,368","14,680","14,772","21,768","14,002","14,989","15,078","23,493","15,385","15,111","13,904","41,778","26,680","27,115","24,391","31,704","20,803","23,635","22,129","30,291","20,980","21,331","19,602","30,675","18,852","20,633","7,431","17,305","15,038","17,184","17,100","26,453","22,620","25,394","25,289","35,112","24,377","28,289","25,513","39,617","23,948","28,938","23,985","40,818","24,668","29,816","24,714"
,"Returning emigrants 5 7 8","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","11,887","10,014","8,591","8,965","11,178","8,329","7,769","8,841","11,527","9,632","7,181","8,407","10,499","9,942","8,563","8,515","10,375","8,983","7,740","9,301","10,753","8,277","6,193","7,527","10,498","8,085","6,044","7,257","10,442","8,039","6,014","7,006","10,501","6,736","5,490","6,631","8,907","6,574","5,413","6,150","8,240","5,645","5,121","6,670","10,011","6,544","5,068","6,482","9,581","5,637","4,661","6,141","9,346","6,029","5,314","6,379","9,915","5,703","4,290","5,893","5,566","3,118","3,271","4,746","4,765","2,665","2,803","4,060","4,696","2,627","2,761","4,003","4,640","2,598","2,728","3,960","5,073","2,840","2,978","4,317","5,302","2,968","3,114","4,515","5,092","2,852","2,991","4,344","5,042","3,313","3,092","4,911","6,620","3,151","3,696","4,921","6,814","3,221","3,041","5,959","8,313","2,935","2,895","4,813","6,591","3,224","3,148","5,708","6,298","2,511","3,100","5,582","6,735","3,124","2,747","5,074","6,940","2,789","2,794","5,387","9,319","4,573","4,048","7,787","10,414","4,786","5,523","8,534","11,609","5,031","4,843","8,958","11,848","5,382","5,098","9,292","13,537","5,485","5,644","10,045","18,670","5,344","5,574","9,647","12,568","5,704","5,506","9,798","11,948","5,236","5,630","9,255","12,465","5,989","5,704","10,338","13,733","6,215","6,018","11,160","14,070","6,027","5,984","11,089","15,023","5,663","5,622","10,686","16,003","5,556","5,388","9,942","15,647","6,027","5,431","11,353","16,797","5,855","5,951","11,057","25,130","10,927","11,151","16,276","22,826","9,928","10,148","15,504","23,266","10,202","9,374","14,396","21,602","9,297","10,225","4,798","17,383","8,766","6,686","8,066","18,555","10,889","9,082","13,977","18,489","10,054","9,361","13,678","20,331","9,917","9,570","13,218","20,949","10,220","9,855","13,620"
,"Net temporary emigration 5 7 9","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","6,299","4,632","4,281","4,529","6,265","4,652","4,287","4,540","5,972","4,830","4,132","4,812","6,487","4,744","3,984","4,530","6,587","4,718","3,921","4,519","7,792","6,019","5,431","6,322","8,178","6,132","5,310","5,943","8,471","5,944","5,157","5,995","8,196","6,071","5,280","6,017","8,435","6,086","5,243","5,799","9,807","7,027","5,171","5,553","8,681","6,591","6,043","6,244","8,044","6,558","6,248","6,710","8,135","6,597","6,193","6,634","8,009","6,451","6,384","6,714","5,377","4,411","4,222","4,513","5,434","4,368","4,232","4,491","5,678","4,531","4,156","4,164","5,276","4,447","4,277","4,524","5,305","4,383","4,385","4,449","7,861","6,387","6,214","6,201","7,693","6,204","6,399","6,371","7,497","6,341","6,406","6,424","7,741","6,167","6,369","6,388","7,948","6,352","6,302","6,062","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
,"Net non-permanent residents 10 11 12","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","4,311","-5,049","1,729","2,006","4,465","-5,225","1,790","6,964","4,872","-5,698","1,954","-3,129","4,773","-5,575","1,910","6,881","5,188","-6,048","2,070","-4,208","5,036","-5,867","2,009","-3,180","4,940","-5,751","1,971","-4,157","4,785","-5,569","1,913","6,861","5,197","-6,041","2,075","13,755","5,966","-6,927","2,377","11,877","24,834","-8,807","-2,403","-1,327","9,199","-9,196","1,902","1,865","7,668","-7,066","3,260","1,203","5,208","-10,020","3,787","4,736","8,516","-6,058","7,575","12,403","21,415","5,144","19,750","12,382","16,532","-7,765","9,934","23,476","51,443","24,064","36,398","28,843","26,073","-23,958","17,728","8,986","4,919","-42,584","-18,010","2,822","2,338","-41,811","164","-3,610","2,018","-30,505","-20,281","-22,417","3,160","-23,754","-1,365","-237","5,673","-20,571","-3,168","3,914","12,352","-12,929","-3,960","3,711","11,482","-20,900","2,006","7,594","12,484","-21,293","367","4,459","14,716","-18,621","5,649","16,573","22,201","-21,992","11,842","12,981","23,335","-19,725","17,268","18,774","29,574","-18,330","10,837","11,429","25,945","-19,078","15,890","14,014","12,532","-19,493","8,349","8,960","16,050","-19,134","4,867","7,365","13,792","-22,865","10,539","14,512","15,132","-27,442","16,985","22,749","21,513","-17,289","16,130","31,124","32,543","-8,128","23,573","23,898","26,163","-17,657","12,495","13,242","20,172","-33,982","9,741","18,793","24,890","-10,622","13,606","27,526","30,588","-25,513","14,639","29,807","38,620","-30,082","6,046","18,283","33,889","-41,248","-11,185","8,703","19,982","-26,830","11,939","30,357","53,175","-6,749","10,350","47,000","78,277","2,407","22,568","59,321","76,425","-3,397","30,543","65,262","80,029","13,947","6,109","-24,820","-67,698","-9,657","13,627","12,009","80,749","-28,898","34,084","138,780","214,263","151,584","100,487","205,191","314,059","169,369","161,892","135,755","109,961","-11,002","-55,194","-58,719"
,"Non-permanent residents, inflows 11 13","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","224,022","130,322","131,483","211,335","322,370","248,672","214,441","282,118","432,203","294,518","274,625","250,307","270,287","149,705","115,837","140,331"
